duration,days_left,price,predict_1,predict_2,final_predictions
11.92,38,7487,6807.2,6835.5,6726.87
12.42,47,60508,61505.19,62044.81,61124.06
22.25,43,60978,60960.76,60978.0,62262.21
24.67,31,4578,6306.84,5633.18,5888.971666666666
11.75,46,3918,3100.1,3183.65,3363.14
2.5,15,5177,5467.91,5561.28,5190.03
7.25,13,11383,11218.75,11292.47,11235.87
7.5,43,45805,46600.2,45805.0,46251.34
23.33,33,45257,45257.0,45257.0,45257.0
25.83,42,51457,51457.0,51457.0,51494.12
11.17,20,7423,8684.9,9929.15,9258.57
17.17,49,57920,57999.52,57920.0,57901.65
12.5,28,7240,7240.0,7215.15,7271.46
16.33,27,1998,1998.0,1998.0,1998.0
10.08,23,60260,60260.0,60260.0,60260.0
5.0,23,6412,5870.87,6280.83,6068.95
8.42,42,3374,3359.81,3337.38,3418.69
17.92,24,5625,5122.05,5476.5,5519.16
13.33,39,4363,4403.7,4446.98,4458.63
22.42,25,8112,8112.0,8112.0,8112.0
10.25,14,11129,11144.17,11171.84,11162.01
1.58,34,2124,2124.0,2124.0,2124.0
26.08,48,4665,4772.97,4813.28,4861.89
2.08,40,2449,3151.32,2608.66,2523.79
2.42,21,5567,5056.95,5054.31,6191.27
23.25,45,56588,56588.0,56588.0,56766.94
25.0,37,47545,47545.0,47545.0,47545.0
24.0,28,8014,4121.05,4039.43,3985.87
2.83,5,31982,32706.44,32734.36,32573.53
22.33,37,56702,55603.51,57305.51,55462.42
21.42,16,9627,10219.66,8699.89,8231.87
7.33,21,59929,60141.21,59982.52,60242.87
7.67,41,3153,2933.63,2991.45,2794.92
13.0,18,60396,60576.32,60396.0,60396.0
12.83,47,5761,5761.0,5761.0,5761.0
12.42,47,60978,60978.0,60978.0,60978.0
17.33,16,54777,55713.45,55669.96,54875.63
11.25,28,6287,6353.72,6303.88,6303.22
16.17,40,55377,55377.0,55377.0,55377.0
6.0,18,5892,5937.13,5682.68,5936.51
7.5,36,5206,5206.0,5206.0,5206.0
15.83,43,73377,73194.1,72333.36,75045.02
24.67,19,5120,5123.33,5136.06,5139.53
7.58,46,5918,5936.76,5935.28,6099.31
11.25,13,17670,17379.96,17329.45,17726.49
14.92,27,6200,6199.09,6231.75,6270.68
11.25,18,5656,5656.0,5643.38,5675.42
9.17,28,51117,51056.84,51086.92,50948.81
9.5,46,54684,54684.0,54684.0,54684.0
2.25,47,24234,25285.84,25220.1,24297.96
2.83,9,7845,9067.2,8826.96,8931.03
9.17,14,58032,51654.25,51910.07,51908.94
8.75,26,59021,71882.94,71715.08,67821.9
2.83,10,16383,9213.15,11616.09,9504.32
5.25,23,3569,3141.3,3090.0,3105.88
13.08,35,44144,44144.0,44144.0,44144.0
13.0,36,6583,6707.53,6663.29,6592.89
2.25,26,3999,4002.82,4001.12,4044.35
18.17,4,15268,14488.76,14607.35,13972.13
4.83,18,6690,6759.4,6801.05,6647.57
18.58,47,58315,58424.49,58768.0,58193.75
5.58,14,53209,53686.12,53288.2,55610.87
16.0,41,45883,45883.0,45883.0,45836.98
20.5,9,57666,55658.34,55839.57,56043.17
14.17,32,51372,51372.0,51372.0,51488.81
4.08,14,6489,6328.5,6298.96,6483.69
9.42,43,9779,9779.0,9779.0,9874.41
10.42,48,42521,42619.16,42521.0,45662.6
12.25,33,44144,44144.0,44144.0,44144.0
14.42,26,5060,5003.13,4948.27,4947.55
5.0,48,5823,5823.0,5823.0,5753.44
10.75,25,5339,5377.45,5367.11,5305.28
7.75,10,9904,10189.09,10248.34,10239.33
13.25,6,57920,59546.04,59474.1,58969.84
8.08,46,8579,8579.0,8579.0,8557.16
7.5,9,11141,12934.82,11396.89,10553.99
21.0,24,5589,5589.9,5875.1,5388.6
9.58,17,57505,49632.52,49922.6,52449.98
19.0,8,65529,69561.0,67774.76,66967.23
26.75,32,5960,6144.49,6218.22,6309.35
17.83,15,37985,38080.87,38329.73,37934.92
1.83,33,3000,3000.0,3000.0,3000.0
25.67,26,6195,6281.79,6289.68,6247.98
12.0,21,3090,3113.95,3118.16,3243.2
22.83,10,7412,10650.63,9452.62,10016.18
9.67,19,3826,3826.0,3846.85,3875.75
12.75,9,58125,58190.75,58213.15,57707.27
26.17,38,67769,67769.0,67848.52,67768.88
6.25,38,6922,6238.78,6163.35,6202.46
15.92,29,6339,6398.07,6374.66,6425.34
8.75,26,6734,6880.11,6947.28,6829.21
16.33,10,12054,12151.03,12427.195,12906.42
14.75,24,6342,5900.26,6081.44,5776.04
2.83,19,2399,3129.0,4033.81,3467.15
17.75,9,6488,9558.65,9386.71,8366.21
8.17,12,7424,7362.18,7389.96,7412.82
5.75,15,13734,13510.53,13063.97,13465.0
17.42,12,14364,14428.33,14325.22,14790.62
6.0,35,39555,39555.0,39555.0,40827.32
6.25,46,4007,4058.73,3948.2,4058.57
13.83,37,4896,4826.9,4774.71,4917.69
16.5,39,4909,4935.39,4915.3,5213.85
6.75,34,4204,3635.78,4229.69,3779.66
25.75,7,8988,9065.24,9182.94,8834.59
2.75,9,7425,7725.58,8172.04,7497.41
8.25,16,6252,6174.14,5331.69,5652.33
18.33,28,5625,5625.0,5610.48,5874.85
14.83,5,14355,13493.9,13675.26,13650.83
14.25,12,11520,11520.0,11520.0,11598.3
10.67,10,43376,43376.0,43376.0,43353.25
11.58,37,4827,4820.38,4827.0,4827.0
13.75,37,4139,4442.03,4490.9,4331.93
14.17,48,6314,6313.94,6314.0,6321.53
31.0,8,13961,15488.54,12977.86,18237.95
2.25,35,3611,3385.9,3360.37,3647.76
12.5,49,8092,6998.882,7597.88,6291.33
5.08,21,4190,4447.3,4648.05,4587.98
24.17,13,10744,10767.38,10745.46,10748.19
9.33,27,64285,65001.8,64498.92,65476.18
9.67,42,4170,4066.61,4030.06,4024.14
15.67,30,45883,45883.0,45883.0,45883.0
9.25,8,56702,63915.61,62913.03,58896.52
12.33,39,62448,62448.0,62448.0,62448.0
10.17,19,10895,7384.91,8508.73,8314.19
13.5,4,45883,48391.52,48514.94,48607.06
22.83,15,51457,57296.93,59117.12,57283.08
12.92,22,54896,54896.0,54896.0,54896.0
10.0,3,28563,27111.11,29770.49,25991.27
5.67,42,4266,4901.27,4881.15,5046.86
4.33,43,1543,1710.37,1760.13,1581.13
13.58,20,49613,54759.44,51988.28,54836.72
4.08,20,4056,4170.39,4183.73,4331.41
15.42,9,20920,13143.78,13099.64,13470.625
29.67,33,6167,6169.585,6182.87,6211.69
18.5,27,7739,7051.66,7147.14,7202.79
27.58,11,42212,42212.0,42269.8,43305.8
9.0,7,13474,14657.11,13833.12,14053.97
8.92,17,6696,8009.78,8922.08,8277.613333333335
16.42,6,9840,10688.31,10620.81,10546.1
24.17,36,42521,42521.0,42521.0,42521.0
8.75,23,6017,5986.29,6340.29,6471.61
5.42,36,5632,7229.76,6795.74,6703.5
5.17,42,3763,3827.56,3887.62,3759.8
2.75,16,4502,4498.49,4535.27,4530.39
11.5,12,49725,49804.41,49725.0,49725.0
19.17,42,65529,65767.56,65891.76,65624.12
9.5,4,11129,10866.75,10873.14,10473.75
14.58,27,6590,6879.46,6886.72,7000.11
11.17,44,44280,44280.0,44280.0,44280.0
11.5,38,45883,45883.0,45883.0,45883.0
18.5,18,45693,45693.0,45693.0,45693.0
7.67,8,11129,11705.69,11708.89,11888.46
15.08,40,4294,4294.0,4316.92,4289.64
31.08,11,12197,12707.39,12769.21,12811.39
6.67,17,5761,6028.53,6077.41,6009.41
12.08,5,9840,9869.4,9876.75,9888.92
1.58,21,2230,2125.06,2125.06,2197.64
2.25,14,5955,5965.2,5954.93,5957.94
2.33,32,36712,36711.88,36712.0,36791.52
14.17,5,14880,15368.25,15014.4,14804.74
13.67,45,80566,64988.75,65481.0,67419.41
9.17,25,5949,5949.0,5949.0,5961.6
23.25,29,45672,45672.0,45672.0,45919.46
5.0,48,4071,4021.17,3908.0,4086.56
11.5,24,5937,5971.29,6128.28,6009.21
12.67,26,57057,60003.72,59709.42,59078.8875
13.58,29,6734,6840.81,6963.0,6684.53
33.75,33,7333,6878.89,6844.37,7055.86
2.83,19,2343,2760.3,2745.08,2772.56
2.83,30,2399,2626.61,2600.19,2629.9
2.67,5,7425,7425.0,7479.63,7402.89
14.17,35,6109,6109.0,6109.0,6109.0
12.75,35,4357,4372.52,4375.24,4356.04
6.25,17,7466,9275.96,9660.55,8895.88
4.92,33,4496,4496.0,4496.0,4496.0
25.92,32,3754,3863.25,3848.6,3820.62
4.67,27,5120,5240.25,5159.93,5217.3
12.67,32,5507,5522.48,5507.0,5539.94
7.67,29,6324,6325.64,6324.0,6321.14
6.5,15,70793,68557.22,68432.9,69287.13
1.0,44,1714,1714.0,1714.0,1714.0
9.25,33,6461,6525.85,6526.37,6482.845
8.75,26,2050,2177.39,2219.16,2075.53
5.58,26,54841,56047.21,56654.28,54862.05
10.0,7,7387,6333.12,6290.92,5949.61
1.25,16,1776,1792.86,1791.58,1796.49
4.42,2,7651,6631.14,7630.36,7739.24
15.75,3,65069,73747.73,72646.43,71590.16
6.25,42,6437,6451.7,6444.35,6278.86
4.75,43,3357,3385.35,3375.53,3578.53
26.75,28,5320,5650.24,5667.95,5820.24
7.58,16,5992,6693.63,6719.93,6294.95
10.0,42,3862,3862.0,3862.0,3862.0
14.5,29,53743,53743.0,53743.0,53743.0
7.42,43,2994,4648.52,4871.92,4633.7
16.83,23,4783,4884.96,4785.19,4862.89
14.75,17,5823,5615.75,5852.34,5712.18
10.08,7,56702,66846.27,64198.31,63562.9
7.58,25,4028,4028.0,4028.0,4029.24
7.33,27,52287,52287.0,52287.0,52287.0
7.17,29,3524,3410.08,3441.92,3368.75
8.25,11,8043,8428.45,8452.26,8180.44
22.33,45,48079,48074.07,48079.0,48337.38
5.08,39,3153,3366.16,3741.13,3994.8
12.25,22,48213,48840.2,48761.8,50305.87
9.33,5,58223,67233.63,64942.06,68636.12
23.17,44,7145,7131.32,7145.0,7165.68
2.58,28,3999,4008.52,4004.03,4415.21
25.58,12,7518,7400.06,7604.11,7463.81
2.17,30,27976,30135.52,30337.12,30420.19
2.17,39,2339,2425.18,2350.53,2469.5
2.0,47,3000,3023.33,2962.06,3079.79
20.83,40,3564,3424.92,3455.58,3488.65
6.92,5,11129,11464.23,11500.82,12026.61
2.67,34,4499,4497.66,4507.39,4514.75
12.33,7,12054,12045.91,12190.51,12068.59
12.0,18,39555,39873.08,39996.28,39595.08
24.33,26,3844,3983.59,3873.24,3860.24
19.75,36,5234,5444.21,5452.87,5479.43
9.92,33,54608,54589.86,54854.4,56059.17
4.25,13,5954,6104.11,6152.64,5979.4
25.75,39,3334,3334.0,3334.0,3334.0
12.83,15,5176,5465.31,5254.75,5312.28
15.58,45,6349,4309.22,4400.14,4277.34
7.0,23,4678,9641.25,9481.55,9658.74
28.5,5,51817,51704.43,51061.19,51802.83
9.75,18,7212,7269.15,7199.12,7348.73
26.17,20,55377,55472.66,55582.56,55626.13
9.08,46,6068,6013.56,6020.17,5966.16
8.42,37,50969,51089.96,51210.92,50927.61
7.25,9,6663,5957.12,5949.51,6149.88
23.33,20,4348,4354.54,4348.73,4399.0
2.17,40,24056,24056.0,24056.0,24056.0
16.5,7,9201,9728.33,9646.97,9148.31
19.33,18,51875,54038.59,54168.96,55071.49
9.0,2,15311,13345.55,15041.43,14416.02
11.33,4,5942,7122.47,6300.19,6544.89
13.67,32,3014,3049.88,3067.82,3035.95
14.58,42,50271,50345.71,50345.71,50271.0
12.75,34,3961,3998.17,3973.39,3976.95
6.42,25,4182,4197.65,4093.86,4134.64
14.92,36,6082,6078.18,6082.0,6069.4
26.25,24,9899,9228.03,9074.39,9001.09
10.17,41,3381,3560.4,3446.55,3391.78
12.0,39,2723,2820.74,2775.08,2747.86
7.5,12,11739,11562.69,11536.01,11665.34
22.17,22,51595,51595.0,51595.0,51595.0
9.17,18,4556,4792.32,4603.8,4642.82
13.42,19,5094,4489.26,4667.01,4618.72
14.92,45,1890,2023.88,2285.52,2128.8
26.92,19,47657,47657.0,47657.0,47657.0
16.33,23,51697,51935.56,52015.08,51687.06
14.58,30,69168,69282.24,69045.92,69545.22
2.5,34,2696,2367.3,2404.32,2464.9
1.92,37,3000,3021.22,3000.0,3124.77
21.5,39,5099,4876.53,4998.58,4842.21
10.25,22,9216,9057.523809523811,9057.523809523811,8901.036666666667
5.58,29,2409,2564.05,2611.34,2495.72
28.0,48,3843,3881.14,3833.88,3846.13
2.25,22,2614,2611.36,2621.45,2585.5
13.92,41,4758,4748.46,4825.8,4763.13
14.75,15,74305,69630.12,69624.52,70985.44
9.33,39,5817,5904.0,5886.6,5906.39
5.17,48,1694,1711.36,1694.0,1685.37
11.92,3,59948,62089.02,62696.44,60254.93
19.42,13,14364,14606.5755,14698.716999999999,14275.73
5.58,38,6942,6791.55,6626.16,6778.32
21.58,31,5206,5216.86,5227.73,5209.18
11.17,42,53164,54192.16,54135.04,53975.77
11.83,48,3334,3334.0,3334.0,3334.12
28.0,23,43910,43910.0,43910.0,43910.0
6.25,3,11106,14285.96,14449.16,16186.605
8.92,24,6112,6605.0,6755.92,6643.36
15.75,36,52175,52175.0,52442.68,52249.74
15.17,24,73903,60656.76,60587.32,62089.99
13.42,14,41281,41513.38,41281.0,41198.96
4.83,46,48234,48522.96,48450.72,45286.53
17.5,41,29610,32137.4,32153.42,31620.13
6.67,35,2336,2897.48,3135.26,2958.83
2.08,25,2700,2739.9,2700.0,2731.92
9.33,11,11164,10018.09,9362.53,8251.1
17.75,46,6308,6233.4,6304.38,6524.73
19.0,13,13935,13505.55,13542.3,13448.37
14.83,32,3610,3708.7,3705.87,3651.98
26.92,30,45257,45257.0,45257.0,45257.0
16.67,28,54608,54608.0,54608.0,54608.0
21.5,34,59231,50980.62,51794.2,50568.83
8.42,30,44144,44144.0,44144.0,44144.0
6.92,44,1890,1890.0,2012.77,1953.15
13.33,23,51707,54554.64,55140.01,55914.05
12.0,44,39555,45041.88,45041.88,44835.51
19.5,21,7490,7739.6,7652.04,7573.08
27.83,40,7563,7576.41,6972.31,7299.93
16.67,23,4989,4351.58,4311.48,4230.86
10.17,10,7813,7826.41,7915.04,7869.67
9.58,38,6689,6181.66,6346.12,6125.02
16.5,5,51372,54763.69142857143,51950.08,54551.57
7.92,43,6578,6578.0,6578.0,6591.32
28.42,9,14401,14037.46,14780.643333333335,14157.69
19.17,41,65529,68868.84,67897.44,66615.16
7.75,22,4968,5283.35,6349.31,5443.37
8.08,47,2410,3459.39,3263.57,3655.04
25.0,18,47408,47408.0,47408.0,47408.0
25.08,30,7579,6098.44,6167.07,6139.07
25.67,33,5937,5938.58,5944.57,5930.29
16.83,32,45883,45883.0,45883.0,45883.0
6.25,44,3860,3862.5,4027.84,3704.2
2.08,15,8548,6251.2,6397.45,6265.5
12.33,25,1890,1890.0,1890.0,1890.0
10.42,26,51817,51817.0,51817.0,51817.0
17.17,38,6386,4374.5,4385.64,4328.25
6.17,42,2482,3881.08,4200.4,4143.63
15.42,46,4357,5247.58,5191.75,4843.23
13.83,34,45805,45870.75,45805.0,46844.35
9.75,24,69244,70108.64,70165.76,69843.5
19.92,24,60260,60260.0,60260.0,60501.92
13.17,28,64113,64509.48,64192.52,66135.12
17.67,9,49613,50414.48,49813.37,50061.52
5.67,34,4165,4297.83,4176.98,4302.72
11.5,1,21343,12966.71,13402.06,16683.27
11.08,20,4165,4184.48,4165.0,4164.2
8.67,27,3916,4006.9,4095.29,3967.19
23.08,22,18387,17120.71,17120.71,19308.01
9.25,16,6806,6167.35,6079.6,6011.02
28.0,5,12864,13670.35,13860.13,13149.94
14.75,20,5823,5823.69,5823.0,5823.0
11.08,13,53152,53152.0,53152.0,53152.0
16.17,17,5632,6392.71,6161.91,6109.0
2.42,44,2339,2348.18,2389.75,2357.47
8.58,16,4316,6165.74,5479.69,5603.165
6.42,7,39859,39971.0,39989.01,40239.83
21.42,32,52287,52287.0,52287.0,52287.0
15.08,17,6444,6828.91,7287.01,6755.0
11.83,41,5087,5127.08,5107.04,5134.12
9.42,6,60160,62383.48,62668.06,63658.9
12.75,49,5606,6001.4,6077.46,5968.6125
22.5,28,4969,5022.49,5010.14,5063.88
11.08,19,80566,80566.0,80566.0,80640.37
2.17,49,2098,2098.0,2098.0,2096.37
12.08,24,54115,54192.5,54192.5,56601.22
15.17,31,45672,45672.0,45672.0,47029.48
12.25,15,5177,5177.0,5187.16,5176.75
15.5,17,4173,4736.92,4836.17,4579.4
7.5,44,5696,6546.69,6292.59,6184.45
12.25,34,6568,6568.0,6568.0,6568.0
14.42,18,45883,45883.0,45883.0,45883.0
13.92,25,6032,6143.278333333333,5998.2,5985.26
7.0,16,6287,7216.73,7287.37,7185.24
13.92,32,49613,52154.12,53107.04,50793.65
9.25,12,7412,7412.0,7491.97,7422.11
10.58,48,3288,3361.5,3340.69,3259.81
12.83,32,56590,56590.0,56590.0,56590.0
27.08,25,4969,5121.77,5198.74,5055.79
8.25,8,6663,8377.3,8700.92,8672.66
24.5,24,9506,7755.09,8489.61,8470.85
10.83,22,4814,4847.03,4793.21,4726.68
8.08,22,12642,11539.86,11313.68,11515.79
8.83,48,6578,6578.0,6578.0,6578.0
13.08,28,51384,51384.0,51541.53,51704.0
9.58,34,4979,4979.0,4979.0,4979.0
2.83,24,4499,4576.73,4582.81,4509.55
10.25,43,4363,4363.71,4367.2,4362.99
13.58,17,7872,9880.665,10511.45,10798.27
7.83,39,42521,42521.0,42521.0,42578.12
12.42,5,13524,13615.99,13552.14,13521.2525
13.33,24,51707,56148.61,56251.99,58520.74
13.42,37,5322,5322.0,5322.0,5322.0
11.83,17,5176,5226.55,5554.6,5436.31
1.58,36,17794,17794.0,17794.0,17794.0
7.33,30,6296,6296.0,6296.0,6296.0
8.08,46,4152,4155.44,4152.0,4095.17
13.75,17,6252,6255.0,6504.28,6245.61
11.83,15,10039,14514.41,14440.94,13472.42
25.92,36,4827,5072.77,5080.89,5025.84
9.5,20,5220,4702.97,4530.47,4927.41
17.83,14,50957,51198.92,51561.8,51230.07
8.0,29,7088,6144.0,6329.29,6208.01
7.58,10,7950,8384.51,8494.69,8304.05
7.5,3,28644,19276.26,19391.29,20106.68
14.5,48,6610,6389.38,6149.75,6591.02
11.17,41,4556,4721.78,4601.62,4531.87
14.92,20,53164,53164.0,53164.0,53164.0
6.58,40,6510,6545.23,6518.96,6580.72
8.92,48,1830,1830.0,1830.0,1839.62
5.83,42,2835,3571.28,3652.51,3276.76
7.33,48,51595,51595.0,51595.0,51595.0
13.33,40,4009,4163.04,4187.02,4396.44
20.92,28,8631,8667.81,8673.57,8666.55
13.42,37,53937,53937.0,53953.15,53937.0
5.17,12,4452,4451.91,4452.0,4455.9
2.08,42,23944,23944.0,23944.0,23944.0
13.0,40,54608,54608.0,54608.0,54608.0
11.42,40,6122,6122.0,6122.0,6122.0
6.75,24,6370,6076.32,6047.43,6031.86
13.92,41,5888,5888.0,5888.0,5888.0
2.08,44,2339,2339.0,2339.0,2348.4
16.92,21,84820,73289.51,68692.86,70426.97
7.67,7,13264,9638.24,10350.49,9971.49
24.08,15,8118,7604.56,7464.75,7483.9
16.67,29,56476,56476.0,56476.0,56476.0
6.08,32,5704,5384.68,5386.02,5451.59
8.42,34,7312,7383.83,7349.57,7416.65
17.75,18,5399,5183.02,5113.31,5089.275
16.5,28,59827,53308.75,53231.25,52215.52
10.75,25,61873,61831.53,62135.2,63474.65
2.83,25,4499,4512.61,4514.9,4600.72
5.42,30,2410,3386.43,3380.24,3365.11
6.83,38,3788,4771.6,4809.43,4726.45
9.42,7,8306,8847.79,8828.96,8351.12
7.67,13,50957,51198.92,54141.88,50669.45
28.33,15,54896,54896.0,54896.0,55883.89
22.0,47,57393,57638.28,57543.08,56498.18
7.67,44,62045,62045.0,62045.0,62028.0
13.42,34,2250,2307.76,2854.04,2371.24
24.92,34,51817,51817.0,51817.0,51817.0
7.33,40,58315,58315.0,58315.0,58603.7
4.92,27,54777,54777.0,54777.0,54777.0
22.42,4,55502,55645.27,57274.06,54849.63
11.0,9,20433,14820.53,14088.53,15796.15
25.08,45,3496,3642.85,3634.52,3529.66
6.0,26,4674,4896.1,4564.25,4399.3
9.0,48,6292,6266.56,6264.44,6410.3
9.17,47,4148,4063.42,4054.94,4436.94
1.25,40,1776,1776.0,1776.0,1776.0
7.42,5,8043,8929.5,8942.78,9123.45
26.33,34,55502,55502.0,55502.0,55502.0
1.08,24,1654,1845.36,1925.67,1839.47
4.5,41,2339,3157.21,3110.03,3287.08
15.83,32,73377,72828.3,72333.36,72258.21666666667
4.42,43,3153,3157.82,3194.24,3176.69
21.08,34,58315,62976.29,62660.89,64723.97
24.33,48,4672,4674.4,4676.8,4662.32
8.83,31,9157,9410.39,9406.51,9244.45
19.17,33,5960,5973.65,5966.3,5965.05
29.67,25,6167,6416.76,6328.46,6455.38
5.67,8,11664,11421.82,11430.46,11058.86
13.92,32,7420,7652.64,7620.54,7560.25
10.25,17,4748,5858.95,7047.14,5749.61
11.33,37,3988,4069.39,3995.57,4021.04
16.25,20,7838,8106.88,7378.95,7659.75
13.92,32,5610,5988.21,6002.48,6161.32
11.5,29,64173,64642.28,64150.6,64679.83
4.5,15,37405,37651.4,37651.4,37954.77
17.0,29,49725,49725.0,49725.0,49725.0
1.17,25,1714,1712.29,1780.69,1714.0
9.5,32,1543,2220.02,2108.17,1775.8
15.75,35,6946,7247.73,7108.91,7216.19
30.58,12,15330,14033.82,13982.6,13636.74
25.42,2,18094,13671.63,13880.21,13203.61
15.58,49,51384,51387.23,51986.77,51646.64
8.0,46,4071,4096.82,4091.71,4049.5
10.0,49,3654,3346.81,3335.45,3342.26
10.5,36,4099,4229.51,4217.23,4165.44
19.75,23,5094,4871.85,6113.18,6333.53
17.5,42,7004,6941.82,6975.95,7154.9
8.42,34,59827,52222.2,52083.32,52443.36
15.0,42,6461,6641.72,6596.54,6498.38
11.17,33,4496,4496.0,4496.0,4496.0
4.83,11,11730,14712.1,14289.9,14017.53
23.58,40,7053,7053.0,7048.8,7082.47
24.33,12,10470,11554.885500000002,11412.301666666668,11627.52
18.5,6,7584,7584.0,7606.31,7589.91
7.83,40,47545,47545.0,47545.0,47545.8
13.08,18,5040,6304.09,6751.4,6109.43
16.33,30,5772,5777.25,5775.66,5772.0
13.92,26,4099,4196.16,4192.11,4140.53
7.92,46,5817,5818.53,5811.93,5807.22
15.92,10,56588,56588.0,56644.67,56588.0
16.5,31,35532,35632.3,35532.0,35643.84
2.75,43,3191,3289.13,3620.08,3192.21
7.5,7,10668,11912.1,11509.3,12107.68
11.67,8,58876,55003.46,55534.09,54629.03
15.08,26,69168,69316.96,69396.48,69576.25
6.42,8,10680,10686.3,10703.63,10704.21
6.17,33,45995,45995.0,45995.0,46323.75
10.25,23,9216,9018.6,9015.266666666668,8891.953333333333
23.33,47,4348,4317.22,4316.77,4342.17
12.25,45,4755,4755.0,4755.0,4755.0
2.25,28,2464,2464.0,2464.0,2455.24
7.33,32,53164,53164.0,53164.0,53164.0
26.75,24,63889,57767.47,57877.43,62554.99
21.58,15,57920,58709.08,58947.64,57920.88
25.42,46,5467,5568.79,5620.38,5578.55
26.83,3,6448,9094.59,9405.08,9047.02
7.33,9,72738,70197.96,67784.06,69785.84
27.83,39,3551,3601.18,3634.45,3842.37
1.58,16,3450,3412.68,3414.81,3329.29
26.33,44,57939,57939.0,57939.0,57671.05
15.83,18,4170,4606.28,4747.55,4466.6
14.0,4,11469,11336.43,11182.87,11393.05
3.75,48,1755,2598.17,1978.27,2341.04
18.92,30,5231,5462.07,5496.4,5462.28
2.42,45,3191,2527.9,2703.51,2552.11
2.75,31,4500,4504.59,4463.79,4456.72
5.42,35,3961,4041.88,4360.68,3976.73
13.17,4,18354,22073.87,21958.06,20588.87
10.67,49,3015,3130.18,3049.11,3221.6
15.08,19,5407,5167.59,5143.38,5176.84
11.17,35,6158,6158.0,6158.0,6156.29
13.17,9,15123,16034.92,15742.49,15274.69
8.58,5,14524,14541.32,14483.68,14264.42
2.25,7,5954,6321.77,6316.57,6067.81
24.33,29,44280,44280.0,44280.0,44280.0
23.58,36,41281,43211.65,41921.51,42311.83
8.58,15,54841,56693.48,56631.88,55647.45
15.25,45,38166,39724.25,37847.99,37958.34
27.83,1,19908,18448.69,19244.0,19051.83
28.25,8,9141,10134.14,9866.27,10634.52
5.92,12,4452,4452.0,4532.94,4440.57
24.25,16,64025,57016.98,57082.73,56735.93
7.5,42,3980,3995.76,4095.07,4166.0
8.92,36,4724,5137.1,5187.01,5054.21
14.25,12,69407,57257.32,61619.87,57917.83
23.67,42,55983,55983.0,55983.0,55983.0
13.83,43,57017,57290.28,57757.32,57828.45
13.0,11,53209,53990.76,54321.04,53778.31
23.33,17,10264,5969.22,5973.56,6030.63
7.67,13,7982,7982.0,7947.62,8010.63
